timestamp,src,dst,node
2026-04-18T01:30:33.446391665+05:30,auth-service,db-service,anshul-hp-pavilion-gaming-laptop-15-dk0xxx
2026-04-18T01:31:04.237146269+05:30,gateway,auth-service,anshul-hp-pavilion-gaming-laptop-15-dk0xxx
2026-04-18T01:31:35.214794848+05:30,user-service,db-service,anshul-hp-pavilion-gaming-laptop-15-dk0xxx
