timestamp,deployment,movable,target_node,replicas,ready_replicas,available_replicas
2026-04-17T20:00:01.012597+00:00,logger-service,true,,1,1,1
2026-04-17T20:00:01.012597+00:00,user-service,true,,1,1,1
2026-04-17T20:00:16.236826+00:00,auth-service,true,,1,1,1
2026-04-17T20:00:16.236826+00:00,db-service,false,,1,1,1
2026-04-17T20:00:16.236826+00:00,gateway,true,,1,1,1
2026-04-17T20:00:16.236826+00:00,loadgen,false,,1,1,1
2026-04-17T20:00:16.236826+00:00,logger-service,true,,1,1,1
2026-04-17T20:00:16.236826+00:00,network-rescheduler,false,,1,0,0
2026-04-17T20:00:16.236826+00:00,user-service,true,,1,1,1
2026-04-17T20:00:31.535000+00:00,auth-service,true,,1,1,1
2026-04-17T20:00:31.535000+00:00,db-service,false,,1,1,1
2026-04-17T20:00:31.535000+00:00,gateway,true,,1,1,1
2026-04-17T20:00:31.535000+00:00,loadgen,false,,1,1,1
2026-04-17T20:00:31.535000+00:00,logger-service,true,,1,1,1
2026-04-17T20:00:31.535000+00:00,network-rescheduler,false,,1,0,0
2026-04-17T20:00:31.535000+00:00,user-service,true,,1,1,1
2026-04-17T20:00:47.006026+00:00,auth-service,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:00:47.006026+00:00,db-service,false,,1,1,1
2026-04-17T20:00:47.006026+00:00,gateway,true,,1,1,1
2026-04-17T20:00:47.006026+00:00,loadgen,false,,1,1,1
2026-04-17T20:00:47.006026+00:00,logger-service,true,,1,1,1
2026-04-17T20:00:47.006026+00:00,network-rescheduler,false,,1,1,1
2026-04-17T20:00:47.006026+00:00,user-service,true,,1,1,1
2026-04-17T20:01:02.249407+00:00,auth-service,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:01:02.249407+00:00,db-service,false,,1,1,1
2026-04-17T20:01:02.249407+00:00,gateway,true,,1,1,1
2026-04-17T20:01:02.249407+00:00,loadgen,false,,1,1,1
2026-04-17T20:01:02.249407+00:00,logger-service,true,,1,1,1
2026-04-17T20:01:02.249407+00:00,network-rescheduler,false,,1,1,1
2026-04-17T20:01:02.249407+00:00,user-service,true,,1,1,1
2026-04-17T20:01:17.483448+00:00,auth-service,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:01:17.483448+00:00,db-service,false,,1,1,1
2026-04-17T20:01:17.483448+00:00,gateway,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:01:17.483448+00:00,loadgen,false,,1,1,1
2026-04-17T20:01:17.483448+00:00,logger-service,true,,1,1,1
